song_id,language_id
S001,L001
S002,L001
S003,L001
S004,L001
S005,L001
S006,L002
S007,L002
S008,L002
S009,L002
S010,L002
S011,L002
S012,L002
S013,L002
S014,L002
S015,L002
S016,L001
S017,L001
S018,L001
S019,L001
S020,L001
S021,L001
S022,L001
S023,L001
S024,L001
S025,L001
S026,L001
S027,L001
S028,L001
S029,L001
S030,L001
S031,L001
S032,L001
S033,L001
S034,L001
S035,L001
S036,L001
S037,L001
S038,L001
S039,L001
S040,L001
S041,L001
S042,L001
S043,L001
S044,L001
S045,L001
S046,L001
S047,L001
S048,L001
S049,L001
S050,L001
