song_id,title,duration,release_year
S001,Numb,188,2003
S002,Faint,162,2003
S003,From The Inside,155,2003
S004,Breaking The Habit,196,2003
S005,Somewhere I Belong,213,2003
S006,Kuzu Kuzu,233,2001
S007,Ay,260,2001
S008,Aşk,262,2001
S009,Hüp,219,2001
S010,Sen Başkasın,256,2001
S011,Bir Derdim Var,204,2004
S012,Cambaz,230,2004
S013,Oyunbozan,277,2012
S014,Sevda Çiçeği,240,2004
S015,Aşk İçinde,241,2004
S016,Thunder,187,2017
S017,Radioactive,186,2012
S018,Demons,177,2012
S019,Believer,204,2017
S020,Whatever It Takes,201,2017
S021,Bad At Love,181,2017
S022,Walls Could Talk,101,2017
S023,Sorry,220,2017
S024,Now Or Never,214,2017
S025,Eyes Closed,202,2017
S026,Blinding Lights,200,2020
S027,Save Your Tears,215,2020
S028,After Hours,361,2020
S029,Heartless,198,2020
S030,In Your Eyes,237,2020
S031,Rolling In The Deep,228,2011
S032,Set Fire to the Rain,242,2011
S033,Someone Like You,285,2011
S034,Turning Tables,250,2011
S035,Don't You Remember,243,2011
S036,Bad Habits,230,2021
S037,Shivers,207,2021
S038,2step,153,2021
S039,Visiting Hours,215,2021
S040,Overpass Graffiti,236,2021
S041,Without Me,290,2002
S042,Sing For The Moment,339,2002
S043,Superman,350,2002
S044,Cleanin' Out My Closet,297,2002
S045,Till I Collapse,297,2002
S046,Do I Wanna Know?,272,2013
S047,R U Mine?,201,2013
S048,Arabella,207,2013
S049,I Wanna Be Yours,183,2013
S050,Why'd You Only Call Me When You're High?,161,2013
